S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
MONROVIA 1996-08-28	S-LOC O
CHILPANCINGO , Mexico 1996-08-28	S-LOC O S-LOC O
CALGARY 1996-08-23	S-LOC O
To bat : Inzamam-ul-Haq , Salim Malik , Asif Mujtaba , Wasim	O O O S-PER O B-PER E-PER O B-PER E-PER O S-PER
No going back on democracy ; attempts to tamper with security and stability will not be tolerated .	O O O O O O O O O O O O O O O O O O
" That baked lasagna better be good for $ 8.50 , " said New Yorker Rebecca Weinstein , a U.S. Open regular who was eating a sandwich she had brought from home .	O O O O O O O O O O O O O B-MISC E-MISC B-PER E-PER O O B-MISC E-MISC O O O O O O O O O O O O
China said many countries had compromised to complete the treaty and that the issue of a disarmament schedule could be discussed in future negotiations .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O
Women 's singles	O O O
Ivanisevic hit 32 aces but was outplayed from the back court by the 24-year-old Tillstrom .	S-PER O O O O O O O O O O O O O S-PER O
While Medvedev 's 77-minute romp past Fleurian was rather ordinary , the fact that the two were playing each other was rather remarkable .	O S-PER O O O O S-PER O O O O O O O O O O O O O O O O O
- 1 Hal Sutton through 11	O O B-PER E-PER O O
The Indians sent the game into extra innings in the ninth on Kenny Lofton 's two-run single .	O S-ORG O O O O O O O O O O B-PER E-PER O O O O
Newcastle 21 11 1 9 416 366 23	S-ORG O O O O O O O
CBOT rice closes higher on technical bounce .	O O O O O O O O
Zaglebie Lubin 7 1 3 3 10 12 6	B-ORG E-ORG O O O O O O O
The Salang tunnel , the main supply route for Soviet troops when they were occupying Afghanistan in the 1980s , had been closed since 1994 when northern militia leader General Abdul Rashid Dostum rebelled against the Kabul government .	O S-LOC O O O O O O O S-MISC O O O O O S-LOC O O O O O O O O O O O O O O B-PER I-PER E-PER O O O S-LOC O O
Seiki Okuda ( Japan ) 81 70 72 75	B-PER E-PER O S-LOC O O O O O
12 - Todd Martin ( U.S. ) beat Younes El Aynaoui ( Morocco ) 6-3 6-2 4-6 6-4	O O B-PER E-PER O S-LOC O O B-PER I-PER E-PER O S-LOC O O O O O
ZTE 1 Debrecen 5	S-ORG O S-ORG O
RUGBY UNION - MULDER OUT OF SECOND TEST .	B-ORG E-ORG O S-PER O O O O O
Jordan has asked an Iraqi diplomat to leave the kingdom for carrying out duties incompatible with diplomatic norms , an official source said on Friday .	S-LOC O O O S-MISC O O O O O O O O O O O O O O O O O O O O O
Ian Botham began his test career in 1977 by dismissing Australian captain Greg Chappell with a long hop and went on to become his country 's most successful all-rounder ever with 5,200 runs , 383 wickets plus 120 catches in 102 tests .	B-PER E-PER O O O O O O O O S-MISC O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" People who wish to hold conferences of course do n't need to seek permission from the government in Britain , " he said .	O O O O O O O O O O O O O O O O O O O S-LOC O O O O O
In the first half , the company said it produced 8,333 vehicles and sold 9,018 , but it did not explain the difference .	O O O O O O O O O O O O O O O O O O O O O O O O
8. Sally Boyden ( Britain ) 9	O B-PER E-PER O S-LOC O O
It also would cut its three-month-to-three-year time deposit rates by between 0.05 and 0.10 percentage points .	O O O O O O O O O O O O O O O O O
Showers and rain 0.25-1.00 inch ( 6-25 mm ) and locally heavier through most of central and south central India , up to 0.75 inch ( 19 mm ) in 75 percent of north central India , and only isolated up to 0.50 inch ( 13 mm ) elsewhere over India .	O O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O S-LOC O
MIT trade balance Jan-June - $ 1.45 bln ( Jan-May - $ 1.24 bln )	S-ORG O O O O O O O O O O O O O O
Torquay 3 1 1 1 3 3 4	S-ORG O O O O O O O
2002 - 895M 600M	O O O O
The English language SOUTH CHINA MORNING POST said the judiciary needed to take swift and decisive action in investigating the allegations that a judge had been subjected to pressure in a New Zealand immigration case involving allegations of fraud .	O S-MISC O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O
The controllers are demanding the monthly wage be increased to $ 1,000 per month from the current $ 230 , as well as the resignation of the air traffic service 's management .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Wigan 22 19 1 2 902 326 39	S-ORG O O O O O O O
Interbank call money was down to 8.0 from 10.0 percent .	S-ORG O O O O O O O O O O
BASEBALL - SORRENTO HITS SLAM AS SEATTLE ROUTS ORIOLES .	O O S-PER O O O S-ORG O S-ORG O
A Dutch couple who manage a farm in northern Costa Rica have been kidnapped by an unidentified group demanding $ 1.5 million in ransom , authorities said on Monday .	O S-MISC O O O O O O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O
Arulanandam denied the fishermen charged the refugees for passage to India and said it was unfair to penalise them for the refugees ' arrival .	S-PER O O O O O O O O O S-LOC O O O O O O O O O O O O O O
IRVINE , Calif. 1996-08-29	S-LOC O S-LOC O
In the American League wild-card race , the Mariners are three games behind the White Sox , two behind Baltimore and two ahead of the Red Sox heading into Boston for a weekend series .	O O B-MISC E-MISC O O O O S-ORG O O O O O B-ORG E-ORG O O O S-ORG O O O O O B-ORG E-ORG O O S-LOC O O O O O
Hapoel Tel Aviv 1 Maccabi Haifa 3	B-ORG I-ORG E-ORG O B-ORG E-ORG O
In her first mile race at the richest meeting in Zurich last Wednesday , she slashed 3.05 seconds off the previous record .	O O O O O O O O O O S-LOC O O O O O O O O O O O O
-- Amsterdam newsroom , +31 20 504 5000 ( Fax +31 20 504 5040 )	O S-LOC O O O O O O O O O O O O O
8 equal .	O O O
Corrigendum to Commission Regulation ( EC ) No 658/96 of 9 April 1996 on certain conditions for granting compensatory payments under the support system for producers of certain arable crops ( OJ No L 91 of 12.4.1996 )	O O B-MISC E-MISC O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O S-ORG O O O O O O
The highlights of the first day of the Democratic convention on Monday were expected to feature a mix of party leaders and people who have overcome adversity .	O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O
Norway headed the UEFA Fair Play rankings for 1995-96 with 8.62 points , ahead of England with 8.61 and Sweden 8.57 .	S-LOC O O B-MISC I-MISC E-MISC O O O O O O O O O S-LOC O O O S-LOC O O
Relations between China and Australia have been strained in recent weeks because of Australia 's plan to sell uranium to China 's rival Taiwan .	O O S-LOC O S-LOC O O O O O O O O S-LOC O O O O O O S-LOC O O S-LOC O
SEATTLE AT BOSTON	S-ORG O S-LOC
ALMERE , Netherlands 1996-08-28	S-LOC O S-LOC O
The demand was sparked by Saturday 's active slaughter , which left some packers short on supplies to get Monday operations started , they said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
. "	O O
Soldiers killed nine more PKK guerrillas in Sirnak province and six in Hakkari .	O O O O S-ORG O O S-LOC O O O O S-LOC O
Soyoil solvent was down by 400 rupees per tonne and soyoil refined was down by 400 rupees .	O O O O O O O O O O O O O O O O O O
** Packaging manufacturer Super Indah Makmur on announcement of a tender offer by PT VDH Teguh Sakti , a wholly-owned subsidiary of Singapore-listed Van Der Horst .	O O O B-ORG I-ORG E-ORG O O O O O O O B-ORG I-ORG I-ORG E-ORG O O O O O S-MISC B-ORG I-ORG E-ORG O
LAST S&P AA+ REOFFER =	O S-ORG O O O
