Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
- Cabinet meeting appoints Colonel Severin Konan Kouame as gendarmerie commander , replacing General Joseph Tanny , who has been appointed secretary-general of the National Security Council .	O O O O O B-PER I-PER E-PER O O O O O O B-PER E-PER O O O O O O O O O O O O
HELSINKI 1996-08-27	S-LOC O
" There will be fluctuations in individual years , but it wo n't be a big margin , " he said .	O O O O O O O O O O O O O O O O O O O O O O
They have already signed an association agreement with the European Union and are both part of the Central European Free Trade Area , which also comprises Hungary , Slovakia and the Czech Republic .	O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O S-LOC O O B-LOC E-LOC O
RUGBY UNION - NEW ZEALAND DEFEAT SOUTH AFRICA 33-26 .	O O O B-LOC E-LOC O B-LOC E-LOC O O
Freight load factor 67.0 up 1.7 pct pts	O O O O O O O O
WINNIPEG 1996-08-28	S-LOC O
" Local radio and television there ( in Zvornik ) are advising people to step back and take it easy .	O O O O O O O O S-LOC O O O O O O O O O O O O
( Chicago newsdesk 312-408-8720 )	O S-LOC O O O
We must not send a signal different from the African leaders themselves .	O O O O O O O O O S-MISC O O O
Workington 22 2 1 19 325 1021 5	O O O O O O O O
After a meeting failed to materialise on Monday , Lebed 's spokesman said he might meet the president on Tuesday .	O O O O O O O O O S-PER O O O O O O O O O O O
- Air Cargo Newsroom Tel+44 161 542 7706 Fax+44 171 542 5017	O O O O O O O O O O O O
" The workers keep on gathering in the centre of the town , " the factory 's general manager Vukasin Filipovic told Reuters . "	O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O
said the 37-year-old veteran .	O O O O O
Some 25,000 Palestinian labourers are likely to stay away from their jobs , mainly in construction , in Israel .	O O S-MISC O O O O O O O O O O O O O O O S-LOC O
" There will be tough matches but I hope I can get there , " she said . "	O O O O O O O O O O O O O O O O O O O
unit , for about $ 400 million in cash , creating one of the world 's largest makers of intravenous infusion therapy products .	O O O O O O O O O O O O O O O O O O O O O O O O
Polonia Warsaw 7 3 1 3 7 9 10	O O O O O O O O O
FLORIDA 59 70 .457 22	O O O O O
NATO-led peace troops beefed up their presence in the Doboj area on Sunday to deter any sudden emotional attempt by the refugees to cross the Inter-Entity Boundary Line into Doboj .	S-MISC O O O O O O O O S-LOC O O O O O O O O O O O O O O O B-LOC I-LOC E-LOC O S-LOC O
------------------------	O
Swiss money market rates remained lower at around 1.75 percent offered .	S-MISC O O O O O O O O O O O
V. Kambli run out 18	B-PER E-PER O O O
Banik Ostrava 3 2 0 1 7 3 6	O O O O O O O O O
Iran hangs two men for drug trafficking .	S-LOC O O O O O O O
Feyenoord Rotterdam 1 0 1 0 1 1 1	O O O O O O O O O
SOCCER - OUT-OF-SORTS NEWCASTLE CRASH 2-1 AT HOME .	O O O O O O O O O
4. Theybers 25	O S-PER O
The company , which reported improved first quarter earnings for the period ended July 31 , 1996 , declared a quarterly distribution of $ 0.65 per partnership unit for the quarter ended July .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
played on Tuesday :	O O O O
BUCHAREST 1996-08-27	S-LOC O
13 - Thomas Enqvist ( Sweden ) beat Stephane Simian ( France ) 6-3 6-1 6-4	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
The sea lions -- 17-year-old Beaver and nine-year-old Sake -- have undergone six years of training for their mission .	O O O O O S-PER O O S-PER O O O O O O O O O O O
TIRANA 1996-08-27	S-LOC O
Primary iron output was 297,700 tonnes , 14.5 percent more than last July and 0.1 percent more than in June .	O O O O O O O O O O O O O O O O O O O O O
In a telephone call to a local newspaper from his holiday home in Spain , Dalglish said : " We came to the same opinion , albeit the club came to it a little bit earlier than me . "	O O O O O O O O O O O O O S-LOC O S-PER O O O O O O O O O O O O O O O O O O O O O O O O
The EU 's grain panel will add two tranches of 150,000 tonnes each to the existing allocation , it said .	O O O O O O O O O O O O O O O O O O O O O
2 - Ong Ewe Hock ( Malaysia ) beat Indra Wijaya ( Indonesia ) 1-15	O O B-PER I-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O
In the meantime , Taibe will play all their heavily policed home matches at the Jewish coastal town of Netanya .	O O O O O O O O O O O O O O O S-MISC O O O S-LOC O
The director general of the air traffic service Valentin Valkov said last Friday that a controllers ' strike would be illegal .	O O O O O O O O B-PER E-PER O O O O O O O O O O O O
Lebed , who met Russian Prime Minister Viktor Chernomyrdin on Monday to discuss the progress he made on a political settlement for the breakaway region , has been seeking a meeting with President Boris Yeltsin , who started a holiday near Moscow on Monday .	S-PER O O O S-MISC O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O S-LOC O O O
CRICKET - ENGLAND V PAKISTAN ONE-DAY SCOREBOARD .	O O S-LOC O S-LOC O O O
Women 's sprint semifinals ( best of three ) :	O O O O O O O O O O
Radnicki 3 1 0 2 5 6 3	O O O O O O O O
NEW YORK 74 56 .569 -	O O O O O O
TEGUCIGALPA 1996-08-26	S-LOC O
French farmers set up blockades in mad cow protest .	S-MISC O O O O O O O O O
Their videos included pictures of one of the accused tying up a Thai boy and performing acts of sadistic torture on him , prosecutors said in a statement .	O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O
In July the government gave a 6.0-percent wage and pension indexation to cover energy , fuel and bread price increases , which quickened inflation to 7.5 percent last month .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Premier league	O O
BUENOS AIRES 1996-08-26	B-LOC E-LOC O
Scores : England 326 ; Pakistan 473-6 .	O O S-LOC O O S-LOC O O
International observers say the alleged irregularities could affect the outcome of voting for municipal assemblies .	O O O O O O O O O O O O O O O O
BASEBALL - ORIOLES SNEAK PAST ANGELS .	O O O O O O O
.	O
M4 MONEY SUPPLY ( % ) Jul +2.6 +4.2R +10.8 - -	O O O O O O O O O O O O
Contrary to news reports , Simpson said , he has received support from both blacks and whites .	O O O O O S-PER O O O O O O O O O O O O
Graf , of course , prevailed 6-3 7-6 , but not before some tense moments that even had the German superstar thinking the match was going three sets .	S-PER O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O
5. Margret Crowley ( Australia ) 4:05.00	O B-PER E-PER O S-LOC O O
EASTERN DIVISION	B-MISC E-MISC
Patrick Rafter ( Australia ) vs. Kenneth Carlsen ( Denmark )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
New Zealand - Tries : Scott McLeod , Glen Osborne .	B-LOC E-LOC O O O B-PER E-PER O B-PER E-PER O
Nepal 's king leaves on week-long visit to China .	S-LOC O O O O O O O S-LOC O
PHILADELPHIA AT SAN DIEGO	O O B-LOC E-LOC
N. Williams 5-43 ) .	B-PER E-PER O O O
( 7-4 ) 6-2	O O O O
But these concerns were irrelevant , a Singapore trader said , despite a forecast that domestic Chinese copper demand could hit one million tonnes this year .	O O O O O O O S-LOC O O O O O O O O S-MISC O O O O O O O O O O
Leading positions	O O
Attendance : 2,189	O O O
American Dennis Mitchell upstaged a trio of past and present Olympic 100 metres champions on Friday with a storming victory at the Brussels grand prix .	S-MISC B-PER E-PER O O O O O O O S-MISC O O O O O O O O O O O S-LOC O O O
Standings ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O
Neville Godwin ( South Africa ) beat Tomas Carbonell ( Spain ) 6-4 6-2 3-6 6-1	B-PER E-PER O B-LOC E-LOC O O B-PER E-PER O S-LOC O O O O O
Schalke 4 0 3 1 5 9 3	O O O O O O O O
CHICAGO AT ATLANTA	O O S-LOC
He entered the Military College in 1935 .	O O O O O O O O
Israel approves Arafat 's flight to West Bank .	S-LOC O S-PER O O O B-LOC E-LOC O
A thin trickle of voters began casting their ballots in this northern port city for the five rival lists of candidates as polling stations opened at 7 a.m. ( 0400 gmt ) .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
( Italy ) 71 73 72	O S-LOC O O O O
Interest charges 2.20 vs 5.05	O O O O O
After the British government admitted a possible link between mad cow disease and its fatal human equivalent , the EU imposed a worldwide ban on British beef exports .	O O S-MISC O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O
PRESS DIGEST - Sri Lankan Newspapers - August 27 .	O O O B-MISC E-MISC O O O O O
KANSAS CITY 59 73 .447 19 1/2	O O O O O O O
Goias 5 2 2 1 7 4 8	O O O O O O O O
Scores : Pakistan 225-5 innings closed ( Saeed Anwar 57 ) , England 226-5 in 46.4 overs ( M. Atherton 65 ) .	O O S-LOC O O O O B-PER E-PER O O O S-LOC O O O O O B-PER E-PER O O O
No other details were immediately available .	O O O O O O O
Tacis - support framework for the coordination and development of the Tacis information and communications programme Notice of open invitation to tender for a public service contract ( 96 / C 251/05 )	S-MISC O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O
'	O
Hapoel Beersheva 2 Maccabi Herzliya 0	O O O O O O
7. Jean Alesi ( France ) Benetton 1:52.354	O B-PER E-PER O S-LOC O O O
Several of the other women 's seeds eased into the second round with more typical Graf-like efficiency Tuesday .	O O O O O O O O O O O O O O O S-MISC O O O
DETROIT 46 83 .357 28 1/2	O O O O O O
It said heavy fighting started at midnight in the region dividing the two warring factions , with the PUK aiming to break through to KDP 's headquarters in Salahuddin .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O
Sunday after 23 special stages in the 1,000 Lakes Rally , sixth	O O O O O O O B-MISC I-MISC E-MISC O O
Maybe sentiment is a little bit weaker but prices have not changed . "	O O O O O O O O O O O O O O
" Results of the registration for September elections herald a dismal future for multi-ethnicity in Bosia-Hercegovina , " warned Soren Jessen-Petersen , Special Envoy for the U.N. High Commissioner for Refugees in Former Yugoslavia .	O O O O O O O O O O O O O O O S-LOC O O O B-PER E-PER O O O O O O O O O O O B-LOC E-LOC O
20. Giovanni Lavaggi ( Italy ) Minardi 1:58.579	O B-PER E-PER O S-LOC O O O
Burundi 's parliament has been suspended and political parties are banned but Terence told reporters Buyoya would reconvene a new type of national assembly in October .	S-LOC O O O O O O O O O O O S-PER O O S-PER O O O O O O O O O O O
China cancelled a visit by a top-level delegation in protest .	S-LOC O O O O O O O O O O
Le Havre 4 0 2 2 2 4 2	O O O O O O O O O
" These rules are intended to empower all investors , by allowing their orders to compete on a level playing field , and by providing the disclosure they need to make informed decisions , " said SEC Chairman Arthur Levitt .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O
Results from the	O O O
Eyewitnesses said six crew members had also been allowed to leave the aircraft .	O O O O O O O O O O O O O O
Kadian was approved for sale in the United States last month , Faulding said .	S-MISC O O O O O O B-LOC E-LOC O O O O O O
Belgian police said an officer had visited Bratislava to talk with Slovak detectives about An and Eefje and other disappearances , and he planned to go also to Prague .	S-MISC O O O O O O S-LOC O O O S-MISC O O S-PER O S-PER O O O O O O O O O O O S-LOC O
Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .	O O B-PER E-PER O O O O O O O O O O O O O O O O S-PER O
